object_name    obs_date             freq  file_name                             comment
J0231-3935     2002-05-14     8645724375  J0231-3935_X_2002_05_14_yyk_map.fits  distance = 130.4
J1350+6132     1995-04-19     8336896250  J1350+6132_X_1995_04_19_yyk_map.fits  distance = 96.0
J0006-2801     2021-09-21     7616000000  J0006-2801_X_2021_09_21_pet_map.fits  distance = 6.1
J0540+4905     2021-09-27     7616000000  J0540+4905_X_2021_09_27_pet_map.fits  distance = 4.1
J1829-3904     2017-09-18     8652000000  J1829-3904_X_2017_09_18_pet_map.fits  distance = 4.1
J1330+2509     2014-06-09     8652000000  J1330+2509_X_2014_06_09_mxu_map.fits  distance = 6.3
J1330+2509     2002-05-14     8645724375  J1330+2509_X_2002_05_14_yyk_map.fits  distance = 70.3
J1330+2509     2018-05-15     8652000000  J1330+2509_X_2018_05_15_pet_map.fits  distance = 8.1
J1330+2509     2014-06-09     8652000000  J1330+2509_X_2014_06_09_pet_map.fits  distance = 6.3
J1330+2509     2007-03-27     8642240000  J1330+2509_X_2007_03_27_pet_map.fits  distance = 5.8
J1330+2509     2014-06-09     8667875000  J1330+2509_X_2014_06_09_pus_map.fits  distance = 4.5
J1402+0342     2016-02-17     7624000000  J1402+0342_X_2016_02_17_pet_map.fits  distance = 48.4
J2251+1848     2021-09-08     8635750000  J2251+1848_X_2021_09_08_pet_map.fits  distance = 6.3
J0227+1901     2021-01-29     7624000000  J0227+1901_X_2021_01_29_pet_map.fits  distance = 5.8
J1605-2854     2022-04-11(2)  7616000000  J1605-2854_X_2022_04_11_pet_map.fits  distance = 4.1
J2335+6109     2016-08-07     7624000000  J2335+6109_X_2016_08_07_pet_map.fits  distance = 6.3
J1541-1810     2021-01-25     7624000000  J1541-1810_X_2021_01_25_pet_map.fits  distance = 5.4
J1953-2450     2019-09-23     7624000000  J1953-2450_X_2019_09_23_pet_map.fits  distance = 5.0
J1348-2505     2022-03-22     7616000000  J1348-2505_X_2022_03_22_pet_map.fits  distance = 5.0
J0806-3519     2002-01-31     8645724375  J0806-3519_X_2002_01_31_yyk_map.fits  distance = 119.1
J1959-3938     2020-12-03     7624000000  J1959-3938_X_2020_12_03_pet_map.fits  distance = 5.1
J1335-3911     2016-08-21     7624000000  J1335-3911_X_2016_08_21_pet_map.fits  distance = 19.7
J0111+3906     2002-05-08     8646224375  J0111+3906_X_2002_05_08_pus_map.fits  distance = 8.1
J0855-3450     2016-08-23     7624000000  J0855-3450_X_2016_08_23_pet_map.fits  distance = 5.8
J1523-0018     2022-07-03     7616000000  J1523-0018_X_2022_07_03_pet_map.fits  distance = 5.8
J0538-4405     2007-12-05     8646224375  J0538-4405_X_2007_12_05_pus_map.fits  distance = 4.0
J0538-4405     2022-07-05     8635750000  J0538-4405_X_2022_07_05_pet_map.fits  distance = 4.5
J0538-4405     2007-06-26     8646224375  J0538-4405_X_2007_06_26_ojh_map.fits  distance = 4.1
J0538-4405     2014-06-25     8635750000  J0538-4405_X_2014_06_25_pet_map.fits  distance = 7.3
J1041-4422     2013-03-26     7639968750  J1041-4422_X_2013_03_26_pet_map.fits  distance = 7.3
J1203-2628     2020-12-13     7624000000  J1203-2628_X_2020_12_13_pet_map.fits  distance = 5.8
J1203-2628     2013-02-22     7624000000  J1203-2628_X_2013_02_22_pet_map.fits  distance = 6.1
J0806-2151     2013-02-08     7639968750  J0806-2151_X_2013_02_08_pet_map.fits  distance = 109.3
J0819-3611     2021-09-27     7616000000  J0819-3611_X_2021_09_27_pet_map.fits  distance = 5.0
J2304+4028     2015-09-01     7624000000  J2304+4028_X_2015_09_01_pet_map.fits  distance = 5.0
J0534+1927     2002-05-14     8645724375  J0534+1927_X_2002_05_14_yyk_map.fits  distance = 167.0
J0817-3218     2013-04-22     7639968750  J0817-3218_X_2013_04_22_pet_map.fits  distance = 135.7
J0025-2717     2022-11-29     7616000000  J0025-2717_X_2022_11_29_pet_map.fits  distance = 7.3
J0025-2717     2021-09-21     7616000000  J0025-2717_X_2021_09_21_pet_map.fits  distance = 4.5
J1124-3317     2016-08-23     7624000000  J1124-3317_X_2016_08_23_pet_map.fits  distance = 4.1
J0647+5446     1994-08-12     8336896250  J0647+5446_X_1994_08_12_yyk_map.fits  distance = 95.3
J0341-1931     2016-01-29(2)  7624000000  J0341-1931_X_2016_01_29_pet_map.fits  distance = 215.7
J0055-3724     2012-06-05     8354990000  J0055-3724_X_2012_06_05_pet_map.fits  distance = 4.1
J1304-1932     2015-09-28     7624000000  J1304-1932_X_2015_09_28_pet_map.fits  distance = 176.3
J1559+5924     1994-08-12     8336896250  J1559+5924_X_1994_08_12_yyk_map.fits  distance = 114.8
J0239+0416     2019-07-30     7624000000  J0239+0416_X_2019_07_30_pet_map.fits  distance = 6.1
J1357+4353     2017-08-05     8652000000  J1357+4353_X_2017_08_05_pet_map.fits  distance = 4.1
J0424+1442     1996-01-02     8336896250  J0424+1442_X_1996_01_02_yyk_map.fits  distance = 167.7
J1743-0350     2015-03-17     8667875000  J1743-0350_X_2015_03_17_pus_map.fits  distance = 159.4
J1526-1351     1997-05-07     8339474375  J1526-1351_X_1997_05_07_yyk_map.fits  distance = 9.8
J0905+4128     2013-04-22     7639968750  J0905+4128_X_2013_04_22_pet_map.fits  distance = 186.8
J1925-3426     2020-12-03     7624000000  J1925-3426_X_2020_12_03_pet_map.fits  distance = 5.1
J1818-1705     2010-03-29     8313865000  J1818-1705_X_2010_03_29_pet_map.fits  distance = 6.4
J1947-3716     2019-09-23     7624000000  J1947-3716_X_2019_09_23_pet_map.fits  distance = 10.2
J0638+2434     2022-09-20     7616000000  J0638+2434_X_2022_09_20_pet_map.fits  distance = 4.1
J1023+1012     2019-07-29(2)  7624000000  J1023+1012_X_2019_07_29_pet_map.fits  distance = 6.1
J1715+2145     2019-01-21     8652000000  J1715+2145_X_2019_01_21_pet_map.fits  distance = 254.2
J2152-2828     2015-08-24     7624000000  J2152-2828_X_2015_08_24_pet_map.fits  distance = 8.1
J1523+1614     2022-07-01     7616000000  J1523+1614_X_2022_07_01_pet_map.fits  distance = 7.1
J1651+5805     1994-08-12     8336896250  J1651+5805_X_1994_08_12_yyk_map.fits  distance = 157.6
J1651+5805     2012-01-12(2)  8354990000  J1651+5805_X_2012_01_12_pet_map.fits  distance = 5.7
J1411+4239     2010-03-23     8408990000  J1411+4239_X_2010_03_23_pet_map.fits  distance = 47.5
J1107+1502     2010-03-23     8408990000  J1107+1502_X_2010_03_23_pet_map.fits  distance = 11.4
J1950-0436     1997-05-07     8339474375  J1950-0436_X_1997_05_07_yyk_map.fits  distance = 125.3
J0501-0756     2020-11-04     7624000000  J0501-0756_X_2020_11_04_pet_map.fits  distance = 240.1
J1538-3331     2022-12-01     7616000000  J1538-3331_X_2022_12_01_pet_map.fits  distance = 14.9
J0255+5129     2021-09-27     7616000000  J0255+5129_X_2021_09_27_pet_map.fits  distance = 58.2
J0535-0523     2022-11-18     7616000000  J0535-0523_X_2022_11_18_pet_map.fits  distance = 4.1
J1948-3055     2019-09-23     7624000000  J1948-3055_X_2019_09_23_pet_map.fits  distance = 15.2
J0522+5609     2021-01-31     7624000000  J0522+5609_X_2021_01_31_pet_map.fits  distance = 6.0
