object_name    obs_date             freq  file_name                             comment
J0544+1118     1995-07-15     2266896250  J0544+1118_S_1995_07_15_yyk_map.fits  distance = 98.2
J1513-1154     2020-03-16     2284000000  J1513-1154_S_2020_03_16_pet_map.fits  distance = 15.6
J0935-2820     2022-06-12(2)  2284000000  J0935-2820_S_2022_06_12_pet_map.fits  distance = 4.1
J0935-2820     2015-03-17     2291875000  J0935-2820_S_2015_03_17_pus_map.fits  distance = 7.6
J0935-2820     1997-08-27     2269474375  J0935-2820_S_1997_08_27_yyk_map.fits  distance = 10.3
J0935-2820     2017-07-09     2252000000  J0935-2820_S_2017_07_09_pet_map.fits  distance = 5.7
J0935-2820     2018-06-03     2252000000  J0935-2820_S_2018_06_03_pet_map.fits  distance = 4.1
J1156-2054     2022-10-15(2)  2284000000  J1156-2054_S_2022_10_15_pet_map.fits  distance = 6.0
J1248-0630     2021-04-16(3)  2284000000  J1248-0630_S_2021_04_16_pet_map.fits  distance = 4.0
J1248-0630     2020-09-18(7)  2284000000  J1248-0630_S_2020_09_18_pet_map.fits  distance = 6.3
J0207+7956     2020-03-02     2284000000  J0207+7956_S_2020_03_02_pet_map.fits  distance = 54.7
J1025+8144     2020-03-08     2284000000  J1025+8144_S_2020_03_08_pet_map.fits  distance = 9.0
J1025+8144     2006-02-16     2305490000  J1025+8144_S_2006_02_16_pet_map.fits  distance = 4.5
J1057-2342     1997-07-02     2269474375  J1057-2342_S_1997_07_02_yyk_map.fits  snr = 9.5
J1057-2342     1997-08-27     2269474375  J1057-2342_S_1997_08_27_yyk_map.fits  snr = 9.2
J0207+795A     2020-03-02     2284000000  J0207+795A_S_2020_03_02_pet_map.fits  distance = 224.3
J1831-1843     2018-12-29     2252000000  J1831-1843_S_2018_12_29_pet_map.fits  distance = 4.0
J1858+0313     2017-09-26     2252000000  J1858+0313_S_2017_09_26_pet_map.fits  distance = 270.6
J1858+0313     2017-02-24     2252000000  J1858+0313_S_2017_02_24_pet_map.fits  distance = 7.8
J1858+0313     2017-09-26     2291875000  J1858+0313_S_2017_09_26_pus_map.fits  distance = 13.0
J1717-3342     2018-07-27(2)  2252000000  J1717-3342_S_2018_07_27_pet_map.fits  distance = 7.1
J1534+4823     1996-08-10     2268302500  J1534+4823_S_1996_08_10_yyk_map.fits  distance = 112.5
J0402+8241     2020-03-08     2284000000  J0402+8241_S_2020_03_08_pet_map.fits  distance = 4.5
J2116+0225     2017-06-10(2)  2252000000  J2116+0225_S_2017_06_10_pet_map.fits  distance = 1611.0
J1229+0203     2007-04-30     2279458750  J1229+0203_S_2007_04_30_sok_map.fits  distance = 5.4
J0750-3759     2017-09-26     2252000000  J0750-3759_S_2017_09_26_pet_map.fits  distance = 278.0
J0750-3759     2018-12-20     2252000000  J0750-3759_S_2018_12_20_pet_map.fits  distance = 4.1
J0750-3759     2017-03-23     2252000000  J0750-3759_S_2017_03_23_pet_map.fits  distance = 6.1
J0541+3301     2002-05-14     2301974375  J0541+3301_S_2002_05_14_yyk_map.fits  snr = 6.7
J0707+0226     2018-12-29     2252000000  J0707+0226_S_2018_12_29_pet_map.fits  distance = 78.8
J1337-1254     2021-09-08     2277750000  J1337-1254_S_2021_09_08_pet_map.fits  distance = 9.2
J0014+6117     2002-05-14     2301974375  J0014+6117_S_2002_05_14_yyk_map.fits  distance = 5.4
J1607-3331     2017-01-16     2291875000  J1607-3331_S_2017_01_16_pus_map.fits  distance = 4.0
J1812-0648     1997-05-07     2269474375  J1812-0648_S_1997_05_07_yyk_map.fits  distance = 8.2
J1812-0648     2017-10-09     2291875000  J1812-0648_S_2017_10_09_pus_map.fits  distance = 4.1
J1743+1326     2018-05-19     2252000000  J1743+1326_S_2018_05_19_pet_map.fits  distance = 351.5
J1427-4206     2003-09-17     2309474375  J1427-4206_S_2003_09_17_pus_map.fits  distance = 4.5
J1427-4206     1999-05-10     2292474375  J1427-4206_S_1999_05_10_pus_map.fits  distance = 5.1
J1244+8755     2006-02-23     2305490000  J1244+8755_S_2006_02_23_pet_map.fits  distance = 6.1
J1423+1159     2017-07-09     2291875000  J1423+1159_S_2017_07_09_pus_map.fits  distance = 47.0
J1423+1159     2017-07-09     2252000000  J1423+1159_S_2017_07_09_pet_map.fits  distance = 47.9
J1058+0133     2017-01-21     2252000000  J1058+0133_S_2017_01_21_pet_map.fits  distance = 166.0
J1002+1216     1995-07-15     2266896250  J1002+1216_S_1995_07_15_yyk_map.fits  snr = 3.9
J1539+7814     2006-02-23     2305490000  J1539+7814_S_2006_02_23_pet_map.fits  distance = 5.0
J1454-4012     2003-05-07     2309474375  J1454-4012_S_2003_05_07_pus_map.fits  distance = 4.1
J1454-4012     2000-10-23     2292474375  J1454-4012_S_2000_10_23_nic_map.fits  distance = 8.2
J1454-4012     2008-05-14     2309474375  J1454-4012_S_2008_05_14_ojh_map.fits  distance = 5.0
J0617-3634     2022-02-21(2)  2284000000  J0617-3634_S_2022_02_21_pet_map.fits  distance = 7.3
J0617-3634     2017-09-26     2252000000  J0617-3634_S_2017_09_26_pet_map.fits  distance = 4.5
J0617-3634     2017-01-21     2252000000  J0617-3634_S_2017_01_21_pet_map.fits  distance = 6.0
J0921+1350     1996-03-13     2266896250  J0921+1350_S_1996_03_13_yyk_map.fits  distance = 7.6
J2108-210A     2018-04-01     2276000000  J2108-210A_S_2018_04_01_pet_map.fits  distance = 217.1
J2108-210A     2017-05-01(2)  2252000000  J2108-210A_S_2017_05_01_pet_map.fits  distance = 5.0
J2102+6758     1995-04-19     2266896250  J2102+6758_S_1995_04_19_yyk_map.fits  snr = 3.8
J1443+7707     2020-03-16     2284000000  J1443+7707_S_2020_03_16_pet_map.fits  distance = 54.1
J1443+7707     2006-02-23     2305490000  J1443+7707_S_2006_02_23_pet_map.fits  distance = 257.0
J1651+5805     1994-08-12     2266896250  J1651+5805_S_1994_08_12_yyk_map.fits  distance = 168.4
J1938+0942     2017-04-28     2252000000  J1938+0942_S_2017_04_28_pet_map.fits  distance = 39.3
J1938+0942     2017-04-28     2291875000  J1938+0942_S_2017_04_28_pus_map.fits  distance = 39.3
J1438+6211     2017-07-09     2291875000  J1438+6211_S_2017_07_09_pus_map.fits  distance = 4.1
J1438+6211     2018-07-30(2)  2252000000  J1438+6211_S_2018_07_30_pet_map.fits  distance = 9.5
J1705+7756     1995-04-19     2266896250  J1705+7756_S_1995_04_19_yyk_map.fits  distance = 125.3
J0835+8350     2020-03-08     2284000000  J0835+8350_S_2020_03_08_pet_map.fits  distance = 10.0
J1451+1343     2004-05-08     2309474375  J1451+1343_S_2004_05_08_yyk_map.fits  distance = 53.2
