object_name    obs_date              freq  file_name                             comment
J1947-2752     2020-02-01     4.344e+09    J1947-2752_C_2020_02_01_pet_map.fits  distance = 4.0
J1507+1018     2013-02-22     4.344e+09    J1507+1018_C_2013_02_22_pet_map.fits  distance = 7.8
J2204+3409     2021-12-17     4.352e+09    J2204+3409_C_2021_12_17_pet_map.fits  distance = 5.0
J0212+2244     2013-10-03     4.97938e+09  J0212+2244_C_2013_10_03_lic_map.fits  distance = 115.6
J0747-1914     2021-09-27     4.352e+09    J0747-1914_C_2021_09_27_pet_map.fits  distance = 7.1
J1903+5229     2021-12-18     4.352e+09    J1903+5229_C_2021_12_18_pet_map.fits  distance = 5.7
J0314-3507     2016-06-11     4.344e+09    J0314-3507_C_2016_06_11_pet_map.fits  distance = 6.0
J1731-3802     2019-10-28     4.344e+09    J1731-3802_C_2019_10_28_pet_map.fits  distance = 5.0
J2050-0306     2015-09-05     4.344e+09    J2050-0306_C_2015_09_05_pet_map.fits  distance = 5.0
J1302-3130     2013-04-22     4.35997e+09  J1302-3130_C_2013_04_22_pet_map.fits  distance = 8.1
J1939-2909     2020-10-04     4.344e+09    J1939-2909_C_2020_10_04_pet_map.fits  distance = 4.5
J1300-3711     2020-11-14     4.344e+09    J1300-3711_C_2020_11_14_pet_map.fits  distance = 6.3
J2030-1439     2018-05-30     4.344e+09    J2030-1439_C_2018_05_30_pet_map.fits  distance = 4.5
J1012-3304     2014-01-07     4.344e+09    J1012-3304_C_2014_01_07_pet_map.fits  distance = 4.0
J0149-3330     2022-11-29     4.352e+09    J0149-3330_C_2022_11_29_pet_map.fits  distance = 9.5
J1629-1126     2022-04-11     4.352e+09    J1629-1126_C_2022_04_11_pet_map.fits  distance = 5.0
J0111-3026     2021-09-21     4.352e+09    J0111-3026_C_2021_09_21_pet_map.fits  distance = 5.4
J1252-1735     2021-12-07     4.352e+09    J1252-1735_C_2021_12_07_pet_map.fits  distance = 30.5
J0813+481B     2018-05-03     4.344e+09    J0813+481B_C_2018_05_03_pet_map.fits  distance = 233.3
J0127-3618     2016-06-21     4.344e+09    J0127-3618_C_2016_06_21_pet_map.fits  distance = 4.5
J0317-3610     2016-09-07     4.344e+09    J0317-3610_C_2016_09_07_pet_map.fits  distance = 7.6
J0513+3845     2021-09-27     4.352e+09    J0513+3845_C_2021_09_27_pet_map.fits  distance = 39.5
J0513+3845     2022-11-18     4.352e+09    J0513+3845_C_2022_11_18_pet_map.fits  distance = 4.1
J0851-2614     2021-09-27     4.352e+09    J0851-2614_C_2021_09_27_pet_map.fits  distance = 9.0
J1935-1602     2018-06-19     4.344e+09    J1935-1602_C_2018_06_19_pet_map.fits  distance = 4.5
J0259-3645     2019-08-01     4.344e+09    J0259-3645_C_2019_08_01_pet_map.fits  distance = 5.1
J1033+071A     2016-02-17(3)  4.344e+09    J1033+071A_C_2016_02_17_pet_map.fits  distance = 2230.1
J0927-3336     2022-07-30     4.352e+09    J0927-3336_C_2022_07_30_pet_map.fits  distance = 14.4
J1948-3055     2019-09-23     4.344e+09    J1948-3055_C_2019_09_23_pet_map.fits  distance = 4.1
J0622+7126     2022-09-20(2)  4.352e+09    J0622+7126_C_2022_09_20_pet_map.fits  distance = 6.3
J1019+6138     2020-11-13     4.344e+09    J1019+6138_C_2020_11_13_pet_map.fits  distance = 4.5
J1835-0544     2019-01-15     4.344e+09    J1835-0544_C_2019_01_15_pet_map.fits  distance = 4.1
J1747+1821     2022-07-12     4.352e+09    J1747+1821_C_2022_07_12_pet_map.fits  distance = 12.8
J2037-0010     2021-12-17     4.352e+09    J2037-0010_C_2021_12_17_pet_map.fits  distance = 7.2
J1712+5355     2022-06-14     4.352e+09    J1712+5355_C_2022_06_14_pet_map.fits  distance = 6.1
J1840+3853     2021-02-15     4.344e+09    J1840+3853_C_2021_02_15_pet_map.fits  distance = 5.0
J0424+1546     2021-01-31     4.344e+09    J0424+1546_C_2021_01_31_pet_map.fits  distance = 4.1
J0623-3930     2016-07-29     4.344e+09    J0623-3930_C_2016_07_29_pet_map.fits  distance = 12.0
J1029-3544     2016-07-12     4.344e+09    J1029-3544_C_2016_07_12_pet_map.fits  distance = 8.9
J1859+3318     2022-02-14     4.352e+09    J1859+3318_C_2022_02_14_pet_map.fits  distance = 4.1
J0701-3316     2022-11-18     4.352e+09    J0701-3316_C_2022_11_18_pet_map.fits  distance = 10.0
J2159-4751     2018-08-29     4.344e+09    J2159-4751_C_2018_08_29_pet_map.fits  distance = 10.8
J1823-3656     2020-12-03     4.344e+09    J1823-3656_C_2020_12_03_pet_map.fits  distance = 4.0
J1923+1925     2022-02-14     4.352e+09    J1923+1925_C_2022_02_14_pet_map.fits  distance = 6.7
J1505+0102     2022-07-03     4.352e+09    J1505+0102_C_2022_07_03_pet_map.fits  distance = 5.4
J2150-1246     2020-02-01     4.344e+09    J2150-1246_C_2020_02_01_pet_map.fits  distance = 4.1
J1227-0236     2022-03-22     4.352e+09    J1227-0236_C_2022_03_22_pet_map.fits  distance = 28.3
J0940+6024     2021-09-26     4.352e+09    J0940+6024_C_2021_09_26_pet_map.fits  distance = 57.4
J1411+5212     2022-07-24     4.352e+09    J1411+5212_C_2022_07_24_pet_map.fits  distance = 15.8
J1411+5212     2013-04-22     4.344e+09    J1411+5212_C_2013_04_22_pet_map.fits  distance = 62.6
J1848+3833     2022-02-14(2)  4.352e+09    J1848+3833_C_2022_02_14_pet_map.fits  distance = 20.2
J1911-3941     2020-12-03     4.344e+09    J1911-3941_C_2020_12_03_pet_map.fits  distance = 6.1
J1253+0859     2022-07-09     4.352e+09    J1253+0859_C_2022_07_09_pet_map.fits  distance = 4.1
J2233+5436     2022-07-12(2)  4.352e+09    J2233+5436_C_2022_07_12_pet_map.fits  distance = 4.1
J0516-4251     2014-02-23     4.344e+09    J0516-4251_C_2014_02_23_pet_map.fits  distance = 6.1
J0853-1427     2020-11-04     4.344e+09    J0853-1427_C_2020_11_04_pet_map.fits  distance = 7.3
J2022+6136     2021-10-30     4.352e+09    J2022+6136_C_2021_10_30_pet_map.fits  distance = 5.1
J1346+4813     2016-07-24     4.344e+09    J1346+4813_C_2016_07_24_pet_map.fits  distance = 37.6
J1336+7019     2021-01-25     4.344e+09    J1336+7019_C_2021_01_25_pet_map.fits  distance = 5.0
J0049-4151     2016-06-21     4.344e+09    J0049-4151_C_2016_06_21_pet_map.fits  distance = 266.0
J1625+0648     2022-06-27     4.352e+09    J1625+0648_C_2022_06_27_pet_map.fits  distance = 8.1
J1318-1307     2022-07-26     4.352e+09    J1318-1307_C_2022_07_26_pet_map.fits  distance = 6.3
J2026+1720     2020-12-03     4.344e+09    J2026+1720_C_2020_12_03_pet_map.fits  distance = 5.1
J1911-1953     2020-01-31     4.344e+09    J1911-1953_C_2020_01_31_pet_map.fits  distance = 6.3
J1845-2153     2020-03-17     4.344e+09    J1845-2153_C_2020_03_17_pet_map.fits  distance = 4.5
J0005-2758     2021-09-21     4.352e+09    J0005-2758_C_2021_09_21_pet_map.fits  distance = 7.6
J0005-2758     2022-11-29     4.352e+09    J0005-2758_C_2022_11_29_pet_map.fits  distance = 4.5
J0358+7154     2021-09-27     4.352e+09    J0358+7154_C_2021_09_27_pet_map.fits  distance = 5.1
J0608-2404     2021-09-21     4.352e+09    J0608-2404_C_2021_09_21_pet_map.fits  distance = 6.4
J2045-2933     2020-10-04     4.344e+09    J2045-2933_C_2020_10_04_pet_map.fits  distance = 4.1
J2344-3333     2022-12-02     4.352e+09    J2344-3333_C_2022_12_02_pet_map.fits  distance = 6.1
J2108-3106     2021-09-21     4.352e+09    J2108-3106_C_2021_09_21_pet_map.fits  distance = 29.3
J0327-3729     2021-09-21     4.352e+09    J0327-3729_C_2021_09_21_pet_map.fits  distance = 9.2
J0724-2829     2016-05-30     4.344e+09    J0724-2829_C_2016_05_30_pet_map.fits  distance = 5.0
J0540-3309     2016-08-20     4.344e+09    J0540-3309_C_2016_08_20_pet_map.fits  distance = 4.1
J1736-3400     2018-07-22     4.344e+09    J1736-3400_C_2018_07_22_pet_map.fits  distance = 14.9
J0307+4915     2013-10-03     4.91538e+09  J0307+4915_C_2013_10_03_lic_map.fits  distance = 6.4
J1134-2609     2013-03-04     4.344e+09    J1134-2609_C_2013_03_04_pet_map.fits  distance = 7.3
J1134-2609     2020-11-13     4.344e+09    J1134-2609_C_2020_11_13_pet_map.fits  distance = 6.3
J1743-3058     2018-07-22     4.344e+09    J1743-3058_C_2018_07_22_pet_map.fits  distance = 4.0
J1743-3058     2018-09-23(6)  4.344e+09    J1743-3058_C_2018_09_23_pet_map.fits  distance = 4.0
J1858+0125     2018-12-01     4.344e+09    J1858+0125_C_2018_12_01_pet_map.fits  distance = 4.5
J0351-3703     2019-07-26     4.344e+09    J0351-3703_C_2019_07_26_pet_map.fits  distance = 6.1
J0048-2540     2021-09-21     4.352e+09    J0048-2540_C_2021_09_21_pet_map.fits  distance = 4.5
J1043+3253     2021-09-26     4.352e+09    J1043+3253_C_2021_09_26_pet_map.fits  distance = 126.9
J0644-4343     2013-02-22     4.344e+09    J0644-4343_C_2013_02_22_pet_map.fits  distance = 17.0
J1536+1716     2022-07-01     4.352e+09    J1536+1716_C_2022_07_01_pet_map.fits  distance = 5.0
J0405-3923     2020-09-24     4.344e+09    J0405-3923_C_2020_09_24_pet_map.fits  distance = 5.1
J2053-0514     2015-12-30     4.4544e+09   J2053-0514_C_2015_12_30_pet_map.fits  distance = 4.5
